name,code1,code2,code3,code4,code5,code6,code7,code8,code9,code10,code11,code12,code13,code14,code15,code16,code17,code18,code19,code20,code21
"Aa’l budu’a aa’L (Kash.)",G020, G021,,,,,,,,,,,,,,,,,,,
"Aadad ni daad (G.)",B003,,,,,,,,,,,,,,,,,,,,
"Aaddhakii (S.)",B021,,,,,,,,,,,,,,,,,,,,
"Aaddu (G.)",E054,,,,,,,,,,,,,,,,,,,,
"Aadrak (S.)",G014,,,,,,,,,,,,,,,,,,,,
"Aakhu Dorua (O.)",I002,,,,,,,,,,,,,,,,,,,,
"Aal (Kash.)",D001,,,,,,,,,,,,,,,,,,,,
"Aal kaniji (Kash.)",C030,,,,,,,,,,,,,,,,,,,,
"Aalu (S.)",F018,,,,,,,,,,,,,,,,,,,,
"Aalukah (S.)",F006, F007, F008,,,,,,,,,,,,,,,,,,
"Aam (A.)",E036,E037,E038,E039,E040,E041,E042,,,,,,,,,,,,,,
"Aam/kancha (B.)",D057,,,,,,,,,,,,,,,,,,,,
"Aam (P.)",E036,E037,E038,E039,E040,E041,E042,,,,,,,,,,,,,,
"Aam/paka (B.)",E036,E037,E038,E039,E040,E041,E042,,,,,,,,,,,,,,
"Aam/paka (H.)",E036,E037,E038,E039,E040,E041,E042,,,,,,,,,,,,,,
"Aam ada (A.)",G015,,,,,,,,,,,,,,,,,,,,
"Aam adhrak (H.)",G015,,,,,,,,,,,,,,,,,,,,
"Aam adrak (P.,U.)",G015,,,,,,,,,,,,,,,,,,,,
"Aamb (Kash.)",E036,E037,E038,E039,E040,E041,E042,,,,,,,,,,,,,,
"Aamba (N.)",E028, E029,,,,,,,,,,,,,,,,,,,
"Aamra (S.)",E036,E037,E038,E039,E040,E041,E042,,,,,,,,,,,,,,
"Aanabay/Aanabe (Kan.)",J001,J002,J003,J004,,,,,,,,,,,,,,,,,
"Aanla (O.)",E021,,,,,,,,,,,,,,,,,,,,
"Aararoot (G.)",F015,,,,,,,,,,,,,,,,,,,,
"Aathachakka/ Vennapazham (Mal.)",E007,,,,,,,,,,,,,,,,,,,,
"Aavu paalu (Tel.)",L002,,,,,,,,,,,,,,,,,,,,
